2026-05-12 22:02:55.870077,Code.exe,20.02
2026-05-12 22:02:57.023563,chrome.exe
2026-05-12 22:03:00.875541,chrome.exe,5.0
2026-05-12 22:03:02.027064,Code.exe
2026-05-12 22:03:12.033931,chrome.exe
2026-05-12 22:03:13.599210,Code.exe,10.02
2026-05-12 22:03:15.887245,Code.exe,15.01
2026-05-12 22:03:20.888820,chrome.exe,5.0
2026-05-12 22:03:22.047561,explorer.exe
2026-05-12 22:03:25.891897,Code.exe,5.0
2026-05-12 22:03:27.051138,chrome.exe
2026-05-12 22:03:28.606516,chrome.exe,15.01
2026-05-12 22:03:30.895401,chrome.exe,5.0
2026-05-12 22:03:32.053828,Code.exe
2026-05-12 22:03:35.898414,Code.exe,5.0
2026-05-12 22:03:37.057545,chrome.exe
2026-05-12 22:03:40.900166,chrome.exe,5.0
2026-05-12 22:03:42.059184,Code.exe
2026-05-12 22:03:48.621375,Code.exe,20.01
2026-05-12 22:03:50.910009,Code.exe,10.01
2026-05-12 22:03:52.064522,msedge.exe
2026-05-12 22:04:00.915607,msedge.exe,10.01
2026-05-12 22:04:02.079109,explorer.exe
2026-05-12 22:04:03.637791,msedge.exe,15.01
2026-05-12 22:04:05.924948,Code.exe,5.01
2026-05-12 22:04:07.082665,WhatsApp.Root.exe
2026-05-12 22:04:10.930285,WhatsApp.Root.exe,5.0
2026-05-12 22:04:12.085862,chrome.exe
2026-05-12 22:04:13.648867,explorer.exe,10.01
2026-05-12 22:04:23.655126,chrome.exe,10.01
2026-05-12 22:04:25.941848,chrome.exe,15.01
2026-05-12 22:04:27.098807,msedge.exe
2026-05-12 22:04:28.660665,Code.exe,5.0
2026-05-12 22:04:40.955482,msedge.exe,15.01
2026-05-12 22:04:42.116917,chrome.exe
2026-05-12 22:04:43.679663,msedge.exe,15.02
2026-05-12 22:04:45.961182,Code.exe,5.0
2026-05-12 22:04:55.968177,chrome.exe,10.01
2026-05-12 22:04:57.129750,Code.exe
2026-05-12 22:04:58.690720,chrome.exe,15.01
2026-05-12 22:05:00.978349,Code.exe,5.01
2026-05-12 22:05:02.134521,chrome.exe
2026-05-12 22:05:03.696295,Code.exe,5.0
2026-05-12 22:05:05.990298,chrome.exe,5.01
2026-05-12 22:05:07.144374,msedge.exe
2026-05-12 22:05:08.700488,chrome.exe,5.0
2026-05-12 22:05:11.002886,msedge.exe,5.01
2026-05-12 22:05:12.147122,Code.exe
2026-05-12 22:05:13.707938,msedge.exe,5.01
2026-05-12 22:05:16.005866,explorer.exe,5.0
2026-05-12 22:05:22.155851,chrome.exe
